Date,Type,Price,Profit,run_date
2020-01-06,Buy,72.2679443359375,,2026-05-22
2020-01-07,Sell,71.92807006835938,-0.339874267578125,2026-05-22
2020-01-08,Buy,73.0851058959961,,2026-05-22
2020-01-27,Sell,74.47355651855469,1.3884506225585938,2026-05-22
2020-01-29,Buy,78.18339538574219,,2026-05-22
2020-01-31,Sell,74.60856628417969,-3.5748291015625,2026-05-22
2020-02-06,Buy,78.39309692382812,,2026-05-22
2020-02-20,Sell,77.39278411865234,-1.0003128051757812,2026-05-22
2020-03-26,Buy,62.44580841064453,,2026-05-22
2020-05-27,Sell,77.07168579101562,14.625877380371094,2026-05-22
2020-06-08,Buy,80.79067993164062,,2026-05-22
2020-06-29,Sell,87.65204620361328,6.861366271972656,2026-05-22
2020-07-08,Buy,92.39832305908205,,2026-05-22
2020-07-17,Sell,93.3529052734375,0.9545822143554545,2026-05-22
2020-07-20,Buy,95.32022857666016,,2026-05-22
2020-07-21,Sell,94.00463104248048,-1.3155975341796733,2026-05-22
2020-07-31,Buy,102.97870635986328,,2026-05-22
2020-09-03,Sell,117.35843658447266,14.379730224609375,2026-05-22
2020-10-01,Buy,113.3875961303711,,2026-05-22
2020-10-21,Sell,113.46526336669922,0.077667236328125,2026-05-22
2020-11-06,Buy,115.4310531616211,,2026-05-22
2020-11-23,Sell,110.72393798828124,-4.707115173339858,2026-05-22
2020-12-01,Buy,119.35037994384766,,2026-05-22
2021-01-05,Sell,127.41275787353516,8.0623779296875,2026-05-22
2021-01-22,Buy,135.25148010253906,,2026-05-22
2021-02-01,Sell,130.45680236816406,-4.794677734375,2026-05-22
2021-03-15,Buy,120.76570892333984,,2026-05-22
2021-04-29,Sell,130.0089111328125,9.243202209472656,2026-05-22
2021-06-07,Buy,122.83433532714844,,2026-05-22
2021-07-21,Sell,141.85952758789062,19.025192260742188,2026-05-22
2021-08-17,Buy,146.75242614746094,,2026-05-22
2021-08-18,Sell,143.0100555419922,-3.74237060546875,2026-05-22
2021-08-31,Buy,148.35487365722656,,2026-05-22
2021-09-10,Sell,145.5603485107422,-2.794525146484375,2026-05-22
2021-10-14,Buy,140.46957397460938,,2026-05-22
2021-11-10,Sell,144.74533081054688,4.2757568359375,2026-05-22
2021-11-17,Buy,150.19573974609375,,2026-05-22
2021-12-17,Sell,167.4669952392578,17.271255493164062,2026-05-22
2022-02-01,Buy,170.86248779296875,,2026-05-22
2022-02-17,Sell,165.4659881591797,-5.3964996337890625,2026-05-22
2022-03-18,Buy,160.6650848388672,,2026-05-22
2022-04-08,Sell,166.6515350341797,5.9864501953125,2026-05-22
2022-05-27,Buy,146.8303985595703,,2026-05-22
2022-06-13,Sell,129.40382385253906,-17.42657470703125,2026-05-22
2022-06-23,Buy,135.6738739013672,,2026-05-22
2022-08-22,Sell,164.652099609375,28.978225708007812,2026-05-22
2022-10-17,Buy,139.9302520751953,,2026-05-22
2022-11-04,Sell,136.19593811035156,-3.73431396484375,2026-05-22
2022-11-11,Buy,147.33726501464844,,2026-05-22
2022-11-29,Sell,138.94192504882812,-8.395339965820312,2026-05-22
2023-01-09,Buy,128.09584045410156,,2026-05-22
2023-02-21,Sell,146.3596649169922,18.263824462890625,2026-05-22
2023-03-16,Buy,153.62442016601562,,2026-05-22
2023-04-11,Sell,158.5037384033203,4.8793182373046875,2026-05-22
2023-04-19,Buy,165.23617553710938,,2026-05-22
2023-04-20,Sell,164.27015686035156,-0.9660186767578125,2026-05-22
2023-05-01,Buy,167.16822814941406,,2026-05-22
2023-05-02,Sell,166.1332244873047,-1.035003662109375,2026-05-22
2023-05-05,Buy,171.0914306640625,,2026-05-22
2023-05-16,Sell,169.84742736816406,-1.2440032958984375,2026-05-22
2023-05-18,Buy,172.78890991210938,,2026-05-22
2023-05-22,Sell,171.94989013671875,-0.839019775390625,2026-05-22
2023-05-31,Buy,174.96051025390625,,2026-05-22
2023-06-26,Sell,182.8769073486328,7.9163970947265625,2026-05-22
2023-06-27,Buy,185.630859375,,2026-05-22
2023-07-10,Sell,186.1737518310547,0.5428924560546875,2026-05-22
2023-08-25,Buy,176.54103088378906,,2026-05-22
2023-09-11,Sell,177.28231811523438,0.7412872314453125,2026-05-22
2023-10-04,Buy,171.64834594726562,,2026-05-22
2023-10-20,Sell,170.8773651123047,-0.7709808349609375,2026-05-22
2023-11-02,Buy,175.5130615234375,,2026-05-22
2023-11-30,Sell,187.9969940185547,12.483932495117188,2026-05-22
2023-12-08,Buy,193.69776916503903,,2026-05-22
2023-12-11,Sell,191.1937713623047,-2.5039978027343466,2026-05-22
2023-12-13,Buy,195.92465209960932,,2026-05-22
2023-12-19,Sell,194.9151153564453,-1.0095367431640057,2026-05-22
