Date,Type,Price,Profit,run_date
2020-01-07,Buy,1392.0,,2026-05-22
2020-01-22,Sell,1504.0,112.0,2026-05-22
2020-02-12,Buy,1488.0,,2026-05-22
2020-02-27,Sell,1488.0,0.0,2026-05-22
2020-03-25,Buy,1224.0,,2026-05-22
2020-05-08,Sell,1416.0,192.0,2026-05-22
2020-05-11,Buy,1560.0,,2026-05-22
2020-05-14,Sell,1392.0,-168.0,2026-05-22
2020-05-20,Buy,1624.0,,2026-05-22
2020-06-15,Sell,1576.0,-48.0,2026-05-22
2020-07-28,Buy,1656.0,,2026-05-22
2020-07-29,Sell,1576.0,-80.0,2026-05-22
2020-07-30,Buy,1648.0,,2026-05-22
2020-08-03,Sell,1552.0,-96.0,2026-05-22
2020-08-11,Buy,1576.0,,2026-05-22
2020-08-13,Sell,1488.0,-88.0,2026-05-22
2020-09-10,Buy,1336.0,,2026-05-22
2020-10-19,Sell,1376.0,40.0,2026-05-22
2020-11-13,Buy,1296.0,,2026-05-22
2020-12-23,Sell,1512.0,216.0,2026-05-22
2021-01-08,Buy,1640.0,,2026-05-22
2021-01-28,Sell,1920.0,280.0,2026-05-22
2021-02-18,Buy,2648.0,,2026-05-22
2021-03-01,Sell,2672.0,24.0,2026-05-22
2021-04-21,Buy,1912.0,,2026-05-22
2021-04-30,Sell,1648.0,-264.0,2026-05-22
2021-05-17,Buy,1560.0,,2026-05-22
2021-07-08,Sell,1304.0,-256.0,2026-05-22
2021-07-12,Buy,1328.0,,2026-05-22
2021-07-19,Sell,1280.0,-48.0,2026-05-22
2021-07-20,Buy,1312.0,,2026-05-22
2021-08-19,Sell,1280.0,-32.0,2026-05-22
2021-08-24,Buy,1312.0,,2026-05-22
2021-09-14,Sell,1392.0,80.0,2026-05-22
2021-09-15,Buy,1472.0,,2026-05-22
2021-09-16,Sell,1440.0,-32.0,2026-05-22
2021-10-18,Buy,1342.4000244140625,,2026-05-22
2021-11-02,Sell,1328.0,-14.4000244140625,2026-05-22
2021-11-03,Buy,1353.5999755859375,,2026-05-22
2021-11-12,Sell,1328.0,-25.5999755859375,2026-05-22
2021-11-26,Buy,1344.0,,2026-05-22
2021-12-06,Sell,1208.0,-136.0,2026-05-22
2021-12-21,Buy,1224.0,,2026-05-22
2021-12-29,Sell,1184.0,-40.0,2026-05-22
2022-01-12,Buy,1184.0,,2026-05-22
2022-01-24,Sell,1096.0,-88.0,2026-05-22
2022-02-08,Buy,1064.0,,2026-05-22
2022-02-22,Sell,1024.0,-40.0,2026-05-22
2022-03-01,Buy,1096.0,,2026-05-22
2022-03-08,Sell,932.0,-164.0,2026-05-22
2022-03-24,Buy,960.0,,2026-05-22
2022-04-26,Sell,904.0,-56.0,2026-05-22
2022-04-28,Buy,932.0,,2026-05-22
