Date,Type,Price,Profit,run_date
2020-01-08,Buy,151.65634155273438,,2026-05-22
2020-01-27,Sell,153.73094177246094,2.0746002197265625,2026-05-22
2020-01-29,Buy,159.1875,,2026-05-22
2020-02-21,Sell,169.64382934570312,10.456329345703125,2026-05-22
2020-03-26,Buy,148.28990173339844,,2026-05-22
2020-05-13,Sell,170.74571228027344,22.455810546875,2026-05-22
2020-06-09,Buy,180.79440307617188,,2026-05-22
2020-06-15,Sell,179.9751739501953,-0.8192291259765625,2026-05-22
2020-06-16,Buy,184.3855438232422,,2026-05-22
2020-07-15,Sell,198.1689453125,13.783401489257812,2026-05-22
2020-08-04,Buy,203.1698760986328,,2026-05-22
2020-08-11,Sell,193.7300720214844,-9.439804077148409,2026-05-22
2020-08-20,Buy,204.89273071289065,,2026-05-22
2020-09-04,Sell,204.57765197753903,-0.31507873535161934,2026-05-22
2020-09-29,Buy,197.9031982421875,,2026-05-22
2020-10-23,Sell,206.46823120117188,8.565032958984375,2026-05-22
2020-11-05,Buy,213.2095642089844,,2026-05-22
2020-11-18,Sell,202.07847595214844,-11.131088256835966,2026-05-22
2020-12-01,Buy,206.98971557617188,,2026-05-22
2020-12-09,Sell,202.7677001953125,-4.222015380859375,2026-05-22
2020-12-16,Buy,209.92872619628903,,2026-05-22
2021-01-04,Sell,208.4065399169922,-1.5221862792968466,2026-05-22
2021-01-21,Buy,215.3760528564453,,2026-05-22
2021-02-18,Sell,233.93104553222656,18.55499267578125,2026-05-22
2021-03-16,Buy,228.09689331054688,,2026-05-22
2021-03-18,Sell,221.38954162597656,-6.7073516845703125,2026-05-22
2021-03-23,Buy,227.97216796875,,2026-05-22
2021-03-25,Sell,222.944076538086,-5.028091430664006,2026-05-22
2021-03-26,Buy,226.9166412353516,,2026-05-22
2021-03-30,Sell,222.47390747070312,-4.442733764648466,2026-05-22
2021-04-01,Buy,232.5492553710937,,2026-05-22
2021-04-28,Sell,244.26548767089844,11.716232299804744,2026-05-22
2021-05-25,Buy,242.0980529785156,,2026-05-22
2021-07-19,Sell,266.42138671875,24.323333740234403,2026-05-22
2021-07-23,Buy,278.5974426269531,,2026-05-22
2021-07-28,Sell,275.279296875,-3.318145751953125,2026-05-22
2021-08-19,Buy,285.9724426269531,,2026-05-22
2021-09-01,Sell,290.84832763671875,4.875885009765625,2026-05-22
2021-10-08,Buy,284.1222839355469,,2026-05-22
2021-11-15,Sell,323.84259033203125,39.720306396484375,2026-05-22
2021-12-27,Buy,330.5941772460937,,2026-05-22
2022-01-04,Sell,317.6195678710937,-12.974609375,2026-05-22
2022-01-31,Buy,300.2137145996094,,2026-05-22
2022-02-17,Sell,281.2452087402344,-18.968505859375,2026-05-22
2022-02-25,Buy,287.6104431152344,,2026-05-22
2022-03-07,Sell,269.81072998046875,-17.799713134765625,2026-05-22
2022-03-16,Buy,284.78570556640625,,2026-05-22
2022-04-07,Sell,291.5379638671875,6.75225830078125,2026-05-22
2022-05-02,Buy,275.1893005371094,,2026-05-22
2022-05-09,Sell,255.9481964111328,-19.241104125976562,2026-05-22
2022-05-25,Buy,254.54690551757807,,2026-05-22
2022-06-13,Sell,234.9022674560547,-19.64463806152338,2026-05-22
2022-06-23,Buy,250.99807739257807,,2026-05-22
2022-07-14,Sell,246.3632659912109,-4.634811401367159,2026-05-22
2022-07-20,Buy,254.30450439453125,,2026-05-22
2022-07-26,Sell,244.2494659423828,-10.055038452148438,2026-05-22
2022-07-27,Buy,260.5779724121094,,2026-05-22
2022-08-22,Sell,269.88604736328125,9.308074951171875,2026-05-22
2022-10-03,Buy,233.9239044189453,,2026-05-22
2022-10-11,Sell,219.0279541015625,-14.895950317382812,2026-05-22
2022-10-17,Buy,230.80479431152344,,2026-05-22
2022-11-01,Sell,221.7097625732422,-9.09503173828125,2026-05-22
2022-11-10,Buy,236.10047912597656,,2026-05-22
2022-12-08,Sell,241.07281494140625,4.9723358154296875,2026-05-22
2022-12-13,Buy,250.349365234375,,2026-05-22
2022-12-16,Sell,238.43209838867188,-11.917266845703125,2026-05-22
2023-01-13,Buy,233.1117553710937,,2026-05-22
2023-02-17,Sell,252.08999633789065,18.97824096679696,2026-05-22
2023-03-15,Buy,259.29931640625,,2026-05-22
2023-04-12,Sell,276.9317321777344,17.632415771484375,2026-05-22
2023-04-27,Buy,297.77801513671875,,2026-05-22
2023-05-15,Sell,302.3009033203125,4.52288818359375,2026-05-22
2023-05-18,Buy,311.83154296875,,2026-05-22
2023-05-24,Sell,307.2595520019531,-4.571990966796875,2026-05-22
2023-05-25,Buy,319.0761413574219,,2026-05-22
2023-06-07,Sell,316.5894775390625,-2.486663818359375,2026-05-22
2023-06-15,Buy,340.7903747558594,,2026-05-22
2023-06-21,Sell,326.5556945800781,-14.23468017578125,2026-05-22
2023-07-17,Buy,338.4701538085937,,2026-05-22
2023-07-24,Sell,337.8631286621094,-0.6070251464843182,2026-05-22
2023-07-25,Buy,343.6098937988281,,2026-05-22
2023-07-26,Sell,330.6772155761719,-12.93267822265625,2026-05-22
2023-08-23,Buy,320.8112487792969,,2026-05-22
2023-09-20,Sell,314.6991577148437,-6.112091064453182,2026-05-22
2023-10-06,Buy,321.0663757324219,,2026-05-22
2023-11-30,Sell,372.4933166503906,51.42694091796875,2026-05-22
