Date,Type,Price,Profit,run_date
2020-01-31,Buy,74.60856628417969,,2026-05-22
2020-02-25,Sell,69.60757446289062,-5.0009918212890625,2026-05-22
2020-04-08,Buy,64.2894058227539,,2026-05-22
2020-09-14,Sell,111.99925231933594,47.70984649658203,2026-05-22
2020-10-06,Buy,109.86335754394533,,2026-05-22
2020-10-28,Sell,107.96043395996094,-1.9029235839843892,2026-05-22
2020-11-12,Buy,115.936767578125,,2026-05-22
2021-01-14,Sell,125.37044525146484,9.433677673339844,2026-05-22
2021-01-25,Buy,138.9957275390625,,2026-05-22
2021-02-16,Sell,129.7264404296875,-9.269287109375,2026-05-22
2021-03-23,Buy,119.3534164428711,,2026-05-22
2021-03-29,Sell,118.23332214355467,-1.1200942993164205,2026-05-22
2021-04-01,Buy,119.80144500732422,,2026-05-22
2021-05-05,Sell,124.76883697509766,4.9673919677734375,2026-05-22
2021-06-14,Buy,127.30278778076172,,2026-05-22
2021-08-06,Sell,142.7950897216797,15.492301940917969,2026-05-22
2021-08-12,Buy,145.482177734375,,2026-05-22
2021-09-20,Sell,139.66836547851562,-5.813812255859375,2026-05-22
2021-10-19,Buy,145.35516357421875,,2026-05-22
2022-01-12,Sell,171.76271057128906,26.407546997070312,2026-05-22
2022-02-07,Buy,168.1898193359375,,2026-05-22
2022-02-23,Sell,156.8341522216797,-11.355667114257812,2026-05-22
2022-03-24,Buy,170.5511016845703,,2026-05-22
2022-04-14,Sell,161.94859313964844,-8.602508544921875,2026-05-22
2022-06-07,Buy,145.9178466796875,,2026-05-22
2022-06-14,Sell,130.26730346679688,-15.650543212890625,2026-05-22
2022-07-05,Buy,138.902099609375,,2026-05-22
2022-08-30,Sell,156.14292907714844,17.240829467773438,2026-05-22
2022-10-25,Buy,149.68728637695312,,2026-05-22
2022-11-09,Sell,132.7413330078125,-16.945953369140625,2026-05-22
2022-11-21,Buy,145.67393493652344,,2026-05-22
2022-12-07,Sell,138.71551513671875,-6.9584197998046875,2026-05-22
2023-01-18,Buy,133.07598876953125,,2026-05-22
2023-02-28,Sell,145.30494689941406,12.228958129882812,2026-05-22
2023-03-14,Buy,150.4109649658203,,2026-05-22
2023-08-07,Sell,176.5398406982422,26.128875732421875,2026-05-22
2023-08-31,Buy,185.6937561035156,,2026-05-22
2023-09-15,Sell,172.98269653320312,-12.711059570312472,2026-05-22
2023-10-11,Buy,177.71722412109375,,2026-05-22
2023-10-25,Sell,169.1179962158203,-8.599227905273438,2026-05-22
2023-11-08,Buy,180.7714080810547,,2026-05-22
