Date,Type,Price,Profit,run_date
2020-01-31,Buy,1440.0,,2026-05-22
2020-02-03,Sell,1424.0,-16.0,2026-05-22
2020-02-18,Buy,1576.0,,2026-05-22
2020-03-06,Sell,1456.0,-120.0,2026-05-22
2020-04-02,Buy,929.5999755859376,,2026-05-22
2020-06-22,Sell,1664.0,734.4000244140624,2026-05-22
2020-07-08,Buy,1664.0,,2026-05-22
2020-07-13,Sell,1584.0,-80.0,2026-05-22
2020-09-21,Buy,1344.0,,2026-05-22
2020-10-23,Sell,1344.0,0.0,2026-05-22
2020-11-23,Buy,1224.0,,2026-05-22
2020-12-01,Sell,1256.0,32.0,2026-05-22
2020-12-03,Buy,1488.0,,2026-05-22
2020-12-31,Sell,1480.0,-8.0,2026-05-22
2021-01-12,Buy,1680.0,,2026-05-22
2021-02-08,Sell,2368.0,688.0,2026-05-22
2021-02-18,Buy,2648.0,,2026-05-22
2021-03-09,Sell,2296.0,-352.0,2026-05-22
2021-08-10,Buy,1376.0,,2026-05-22
2021-08-23,Sell,1336.0,-40.0,2026-05-22
2021-08-27,Buy,1488.0,,2026-05-22
2021-09-23,Sell,1360.0,-128.0,2026-05-22
2021-10-22,Buy,1352.0,,2026-05-22
2021-11-08,Sell,1328.0,-24.0,2026-05-22
2022-02-15,Buy,1223.199951171875,,2026-05-22
2022-02-28,Sell,1080.0,-143.199951171875,2026-05-22
2022-04-01,Buy,944.0,,2026-05-22
2022-04-13,Sell,968.0,24.0,2026-05-22
2022-04-26,Buy,904.0,,2026-05-22
2022-04-27,Sell,904.0,0.0,2026-05-22
2022-05-27,Buy,952.0,,2026-05-22
2022-06-10,Sell,816.0,-136.0,2026-05-22
2022-07-29,Buy,912.0,,2026-05-22
2022-08-25,Sell,928.0,16.0,2026-05-22
2022-11-09,Buy,408.0,,2026-05-22
2022-12-07,Sell,456.0,48.0,2026-05-22
2020-01-31,Buy,1440.0,,2026-05-22
2020-02-03,Sell,1424.0,-16.0,2026-05-22
2020-02-18,Buy,1576.0,,2026-05-22
2020-03-06,Sell,1456.0,-120.0,2026-05-22
2020-04-02,Buy,929.5999755859376,,2026-05-22
2020-06-22,Sell,1664.0,734.4000244140624,2026-05-22
2020-07-08,Buy,1664.0,,2026-05-22
2020-07-13,Sell,1584.0,-80.0,2026-05-22
2020-09-21,Buy,1344.0,,2026-05-22
2020-10-23,Sell,1344.0,0.0,2026-05-22
2020-11-23,Buy,1224.0,,2026-05-22
2020-12-01,Sell,1256.0,32.0,2026-05-22
2020-12-03,Buy,1488.0,,2026-05-22
2020-12-31,Sell,1480.0,-8.0,2026-05-22
2021-01-12,Buy,1680.0,,2026-05-22
2021-02-08,Sell,2368.0,688.0,2026-05-22
2021-02-18,Buy,2648.0,,2026-05-22
2021-03-09,Sell,2296.0,-352.0,2026-05-22
2021-08-10,Buy,1376.0,,2026-05-22
2021-08-23,Sell,1336.0,-40.0,2026-05-22
2021-08-27,Buy,1488.0,,2026-05-22
2021-09-23,Sell,1360.0,-128.0,2026-05-22
2021-10-22,Buy,1352.0,,2026-05-22
2021-11-08,Sell,1328.0,-24.0,2026-05-22
2022-02-15,Buy,1223.199951171875,,2026-05-22
2022-02-28,Sell,1080.0,-143.199951171875,2026-05-22
2022-04-01,Buy,944.0,,2026-05-22
2022-04-13,Sell,968.0,24.0,2026-05-22
2022-04-26,Buy,904.0,,2026-05-22
2022-04-27,Sell,904.0,0.0,2026-05-22
2022-05-27,Buy,952.0,,2026-05-22
2022-06-10,Sell,816.0,-136.0,2026-05-22
2022-07-29,Buy,912.0,,2026-05-22
2022-08-25,Sell,928.0,16.0,2026-05-22
2022-11-09,Buy,408.0,,2026-05-22
2022-12-07,Sell,456.0,48.0,2026-05-22
2020-01-31,Buy,1440.0,,2026-05-22
2020-02-03,Sell,1424.0,-16.0,2026-05-22
2020-02-18,Buy,1576.0,,2026-05-22
2020-03-06,Sell,1456.0,-120.0,2026-05-22
2020-04-02,Buy,929.5999755859376,,2026-05-22
2020-06-22,Sell,1664.0,734.4000244140624,2026-05-22
2020-07-08,Buy,1664.0,,2026-05-22
2020-07-13,Sell,1584.0,-80.0,2026-05-22
2020-09-21,Buy,1344.0,,2026-05-22
2020-10-23,Sell,1344.0,0.0,2026-05-22
2020-11-23,Buy,1224.0,,2026-05-22
2020-12-01,Sell,1256.0,32.0,2026-05-22
2020-12-03,Buy,1488.0,,2026-05-22
2020-12-31,Sell,1480.0,-8.0,2026-05-22
2021-01-12,Buy,1680.0,,2026-05-22
2021-02-08,Sell,2368.0,688.0,2026-05-22
2021-02-18,Buy,2648.0,,2026-05-22
2021-03-09,Sell,2296.0,-352.0,2026-05-22
2021-08-10,Buy,1376.0,,2026-05-22
2021-08-23,Sell,1336.0,-40.0,2026-05-22
2021-08-27,Buy,1488.0,,2026-05-22
2021-09-23,Sell,1360.0,-128.0,2026-05-22
2021-10-22,Buy,1352.0,,2026-05-22
2021-11-08,Sell,1328.0,-24.0,2026-05-22
2022-02-15,Buy,1223.199951171875,,2026-05-22
2022-02-28,Sell,1080.0,-143.199951171875,2026-05-22
2022-04-01,Buy,944.0,,2026-05-22
2022-04-13,Sell,968.0,24.0,2026-05-22
2022-04-26,Buy,904.0,,2026-05-22
2022-04-27,Sell,904.0,0.0,2026-05-22
2022-05-27,Buy,952.0,,2026-05-22
2022-06-10,Sell,816.0,-136.0,2026-05-22
2022-07-29,Buy,912.0,,2026-05-22
2022-08-25,Sell,928.0,16.0,2026-05-22
2022-11-09,Buy,408.0,,2026-05-22
2022-12-07,Sell,456.0,48.0,2026-05-22
2020-01-31,Buy,1440.0,,2026-05-22
2020-02-03,Sell,1424.0,-16.0,2026-05-22
2020-02-18,Buy,1576.0,,2026-05-22
2020-03-06,Sell,1456.0,-120.0,2026-05-22
2020-04-02,Buy,929.5999755859376,,2026-05-22
2020-06-22,Sell,1664.0,734.4000244140624,2026-05-22
2020-07-08,Buy,1664.0,,2026-05-22
2020-07-13,Sell,1584.0,-80.0,2026-05-22
2020-09-21,Buy,1344.0,,2026-05-22
2020-10-23,Sell,1344.0,0.0,2026-05-22
2020-11-23,Buy,1224.0,,2026-05-22
2020-12-01,Sell,1256.0,32.0,2026-05-22
2020-12-03,Buy,1488.0,,2026-05-22
2020-12-31,Sell,1480.0,-8.0,2026-05-22
2021-01-12,Buy,1680.0,,2026-05-22
2021-02-08,Sell,2368.0,688.0,2026-05-22
2021-02-18,Buy,2648.0,,2026-05-22
2021-03-09,Sell,2296.0,-352.0,2026-05-22
2021-08-10,Buy,1376.0,,2026-05-22
2021-08-23,Sell,1336.0,-40.0,2026-05-22
2021-08-27,Buy,1488.0,,2026-05-22
2021-09-23,Sell,1360.0,-128.0,2026-05-22
2021-10-22,Buy,1352.0,,2026-05-22
2021-11-08,Sell,1328.0,-24.0,2026-05-22
2022-02-15,Buy,1223.199951171875,,2026-05-22
2022-02-28,Sell,1080.0,-143.199951171875,2026-05-22
2022-04-01,Buy,944.0,,2026-05-22
2022-04-13,Sell,968.0,24.0,2026-05-22
2022-04-26,Buy,904.0,,2026-05-22
2022-04-27,Sell,904.0,0.0,2026-05-22
2022-05-27,Buy,952.0,,2026-05-22
2022-06-10,Sell,816.0,-136.0,2026-05-22
2022-07-29,Buy,912.0,,2026-05-22
2022-08-25,Sell,928.0,16.0,2026-05-22
2022-11-09,Buy,408.0,,2026-05-22
2022-12-07,Sell,456.0,48.0,2026-05-22
2020-01-31,Buy,1440.0,,2026-05-22
2020-02-03,Sell,1424.0,-16.0,2026-05-22
2020-02-18,Buy,1576.0,,2026-05-22
2020-03-06,Sell,1456.0,-120.0,2026-05-22
2020-04-02,Buy,929.5999755859376,,2026-05-22
2020-06-22,Sell,1664.0,734.4000244140624,2026-05-22
2020-07-08,Buy,1664.0,,2026-05-22
2020-07-13,Sell,1584.0,-80.0,2026-05-22
2020-09-21,Buy,1344.0,,2026-05-22
2020-10-23,Sell,1344.0,0.0,2026-05-22
2020-11-23,Buy,1224.0,,2026-05-22
2020-12-01,Sell,1256.0,32.0,2026-05-22
2020-12-03,Buy,1488.0,,2026-05-22
2020-12-31,Sell,1480.0,-8.0,2026-05-22
2021-01-12,Buy,1680.0,,2026-05-22
2021-02-08,Sell,2368.0,688.0,2026-05-22
2021-02-18,Buy,2648.0,,2026-05-22
2021-03-09,Sell,2296.0,-352.0,2026-05-22
2021-08-10,Buy,1376.0,,2026-05-22
2021-08-23,Sell,1336.0,-40.0,2026-05-22
2021-08-27,Buy,1488.0,,2026-05-22
2021-09-23,Sell,1360.0,-128.0,2026-05-22
2021-10-22,Buy,1352.0,,2026-05-22
2021-11-08,Sell,1328.0,-24.0,2026-05-22
2022-02-15,Buy,1223.199951171875,,2026-05-22
2022-02-28,Sell,1080.0,-143.199951171875,2026-05-22
2022-04-01,Buy,944.0,,2026-05-22
2022-04-13,Sell,968.0,24.0,2026-05-22
2022-04-26,Buy,904.0,,2026-05-22
2022-04-27,Sell,904.0,0.0,2026-05-22
2022-05-27,Buy,952.0,,2026-05-22
2022-06-10,Sell,816.0,-136.0,2026-05-22
2022-07-29,Buy,912.0,,2026-05-22
2022-08-25,Sell,928.0,16.0,2026-05-22
2022-11-09,Buy,408.0,,2026-05-22
2022-12-07,Sell,456.0,48.0,2026-05-22
2020-01-31,Buy,1440.0,,2026-05-22
2020-02-03,Sell,1424.0,-16.0,2026-05-22
2020-02-18,Buy,1576.0,,2026-05-22
2020-03-06,Sell,1456.0,-120.0,2026-05-22
2020-04-02,Buy,929.5999755859376,,2026-05-22
2020-06-22,Sell,1664.0,734.4000244140624,2026-05-22
2020-07-08,Buy,1664.0,,2026-05-22
2020-07-13,Sell,1584.0,-80.0,2026-05-22
2020-09-21,Buy,1344.0,,2026-05-22
2020-10-23,Sell,1344.0,0.0,2026-05-22
2020-11-23,Buy,1224.0,,2026-05-22
2020-12-01,Sell,1256.0,32.0,2026-05-22
2020-12-03,Buy,1488.0,,2026-05-22
2020-12-31,Sell,1480.0,-8.0,2026-05-22
2021-01-12,Buy,1680.0,,2026-05-22
2021-02-08,Sell,2368.0,688.0,2026-05-22
2021-02-18,Buy,2648.0,,2026-05-22
2021-03-09,Sell,2296.0,-352.0,2026-05-22
2021-08-10,Buy,1376.0,,2026-05-22
2021-08-23,Sell,1336.0,-40.0,2026-05-22
2021-08-27,Buy,1488.0,,2026-05-22
2021-09-23,Sell,1360.0,-128.0,2026-05-22
2021-10-22,Buy,1352.0,,2026-05-22
2021-11-08,Sell,1328.0,-24.0,2026-05-22
2022-02-15,Buy,1223.199951171875,,2026-05-22
2022-02-28,Sell,1080.0,-143.199951171875,2026-05-22
