Date,Type,Price,Profit,run_date
2020-01-31,Buy,161.26214599609375,,2026-05-22
2020-02-27,Sell,150.2562255859375,-11.00592041015625,2026-05-22
2020-04-02,Buy,147.4824981689453,,2026-05-22
2020-07-27,Sell,194.17776489257807,46.695266723632756,2026-05-22
2020-08-06,Buy,206.0846405029297,,2026-05-22
2020-09-14,Sell,196.1367645263672,-9.9478759765625,2026-05-22
2020-10-02,Buy,196.8815155029297,,2026-05-22
2020-10-28,Sell,193.52993774414065,-3.351577758789034,2026-05-22
2020-11-12,Buy,205.7139129638672,,2026-05-22
2020-11-30,Sell,204.9409027099609,-0.7730102539062784,2026-05-22
2020-12-07,Buy,205.15151977539065,,2026-05-22
2021-01-12,Sell,205.76422119140625,0.6127014160155966,2026-05-22
2021-01-26,Buy,222.42221069335932,,2026-05-22
2021-02-25,Sell,219.7295684814453,-2.6926422119140057,2026-05-22
2021-03-18,Buy,221.38954162597656,,2026-05-22
2021-05-04,Sell,237.76925659179688,16.379714965820312,2026-05-22
2021-05-28,Buy,240.13604736328125,,2026-05-22
2021-09-15,Sell,293.7296142578125,53.59356689453125,2026-05-22
2021-10-15,Buy,293.1418151855469,,2026-05-22
2021-12-02,Sell,318.0829162597656,24.94110107421875,2026-05-22
2021-12-30,Buy,327.57257080078125,,2026-05-22
2022-01-07,Sell,303.1678161621094,-24.404754638671875,2026-05-22
2022-02-08,Buy,294.0159912109375,,2026-05-22
2022-02-15,Sell,290.06756591796875,-3.94842529296875,2026-05-22
2022-03-22,Buy,294.1402282714844,,2026-05-22
2022-04-12,Sell,272.8579406738281,-21.28228759765625,2026-05-22
2022-06-02,Buy,266.2406005859375,,2026-05-22
2022-06-14,Sell,237.06455993652344,-29.176040649414062,2026-05-22
2022-07-01,Buy,251.69618225097656,,2026-05-22
2022-07-20,Sell,254.30450439453125,2.6083221435546875,2026-05-22
2022-07-28,Buy,268.0150756835937,,2026-05-22
2022-08-26,Sell,260.4995422363281,-7.515533447265568,2026-05-22
2022-10-25,Buy,243.56301879882807,,2026-05-22
2022-11-02,Sell,213.86827087402344,-29.69474792480463,2026-05-22
2022-11-16,Buy,235.5478057861328,,2026-05-22
2022-12-22,Sell,232.0983428955078,-3.449462890625,2026-05-22
2023-01-23,Buy,236.37608337402344,,2026-05-22
2023-02-27,Sell,244.37277221679688,7.9966888427734375,2026-05-22
2023-03-15,Buy,259.29931640625,,2026-05-22
2023-08-01,Sell,329.2772827148437,69.9779663085937,2026-05-22
2023-08-30,Buy,322.5674133300781,,2026-05-22
2023-09-22,Sell,311.0103454589844,-11.55706787109375,2026-05-22
2023-10-11,Buy,326.128662109375,,2026-05-22
2023-12-11,Sell,365.0122375488281,38.883575439453125,2026-05-22
2023-12-28,Buy,368.9247741699219,,2026-05-22
