Date,Type,Price,Profit,run_date
2020-01-31,Buy,5.884146213531494,,2026-05-22
2020-02-04,Sell,6.150441646575928,0.2662954330444336,2026-05-22
2020-02-10,Buy,6.5446600914001465,,2026-05-22
2020-03-04,Sell,7.084970474243164,0.5403103828430176,2026-05-22
2020-04-01,Buy,6.053017139434815,,2026-05-22
2020-09-16,Sell,12.47504425048828,6.422027111053464,2026-05-22
2020-10-01,Buy,13.571577072143556,,2026-05-22
2020-10-26,Sell,13.099821090698242,-0.4717559814453143,2026-05-22
2020-11-12,Buy,13.414321899414062,,2026-05-22
2020-11-20,Sell,13.046486854553224,-0.36783504486083807,2026-05-22
2020-11-23,Buy,13.098573684692385,,2026-05-22
2020-11-25,Sell,13.193025588989258,0.09445190429687322,2026-05-22
2020-12-08,Buy,13.31184196472168,,2026-05-22
2020-12-15,Sell,13.322309494018556,0.010467529296876776,2026-05-22
2021-01-11,Buy,13.582566261291504,,2026-05-22
2021-02-05,Sell,13.552153587341309,-0.030412673950195312,2026-05-22
2021-02-08,Buy,14.397480010986328,,2026-05-22
2021-03-02,Sell,13.367932319641112,-1.0295476913452166,2026-05-22
2021-03-24,Buy,12.611215591430664,,2026-05-22
2021-05-05,Sell,14.422149658203123,1.8109340667724592,2026-05-22
2021-05-26,Buy,15.660531044006348,,2026-05-22
2021-07-20,Sell,18.56946182250977,2.9089307785034215,2026-05-22
2021-08-04,Buy,20.22766494750977,,2026-05-22
2021-09-20,Sell,21.06846237182617,0.8407974243163991,2026-05-22
2021-10-18,Buy,22.175125122070312,,2026-05-22
2021-12-10,Sell,30.13798713684082,7.962862014770508,2026-05-22
2022-01-03,Buy,30.061140060424805,,2026-05-22
2022-01-07,Sell,27.19285011291504,-2.8682899475097656,2026-05-22
2022-02-10,Buy,25.772682189941406,,2026-05-22
2022-02-24,Sell,23.7008056640625,-2.0718765258789062,2026-05-22
2022-03-21,Buy,26.685415267944336,,2026-05-22
2022-04-11,Sell,21.877166748046875,-4.808248519897461,2026-05-22
2022-06-02,Buy,19.556396484375,,2026-05-22
2022-06-15,Sell,16.500450134277344,-3.0559463500976562,2026-05-22
2022-07-20,Buy,17.77839469909668,,2026-05-22
2022-08-24,Sell,17.1943359375,-0.5840587615966797,2026-05-22
2022-10-27,Buy,13.158743858337402,,2026-05-22
2022-12-23,Sell,15.189971923828123,2.031228065490721,2026-05-22
2023-01-17,Buy,17.68334197998047,,2026-05-22
2023-04-21,Sell,27.095014572143555,9.411672592163086,2026-05-22
2023-04-28,Buy,27.72446060180664,,2026-05-22
2023-08-09,Sell,42.52075958251953,14.79629898071289,2026-05-22
2023-08-24,Buy,47.12615966796875,,2026-05-22
2023-09-14,Sell,45.54914855957031,-1.5770111083984375,2026-05-22
2023-10-09,Buy,45.24135971069336,,2026-05-22
2023-10-24,Sell,43.63248443603516,-1.608875274658196,2026-05-22
2023-11-09,Buy,46.91719436645508,,2026-05-22
2023-12-04,Sell,45.47819900512695,-1.438995361328125,2026-05-22
2023-12-19,Buy,49.573692321777344,,2026-05-22
