Date,Type,Price,Profit,run_date
2022-02-24,Buy,423132.3125,,2026-05-22
2022-03-24,Sell,679712.5,256580.1875,2026-05-22
2022-04-06,Buy,594119.8125,,2026-05-22
2022-04-11,Sell,538361.0,-55758.8125,2026-05-22
2022-05-25,Buy,541245.125,,2026-05-22
2022-06-16,Sell,457781.65625,-83463.46875,2026-05-22
2022-08-08,Buy,434305.65625,,2026-05-22
2022-08-25,Sell,418000.0,-16305.65625,2026-05-22
2022-11-17,Buy,240000.0,,2026-05-22
2022-12-02,Sell,215000.0,-25000.0,2026-05-22
2022-02-24,Buy,423132.3125,,2026-05-22
2022-03-24,Sell,679712.5,256580.1875,2026-05-22
2022-04-06,Buy,594119.8125,,2026-05-22
2022-04-11,Sell,538361.0,-55758.8125,2026-05-22
2022-05-25,Buy,541245.125,,2026-05-22
2022-06-16,Sell,457781.65625,-83463.46875,2026-05-22
2022-08-08,Buy,434305.65625,,2026-05-22
2022-08-25,Sell,418000.0,-16305.65625,2026-05-22
2022-11-17,Buy,240000.0,,2026-05-22
2022-12-02,Sell,215000.0,-25000.0,2026-05-22
2022-02-24,Buy,423132.3125,,2026-05-22
2022-03-24,Sell,679712.5,256580.1875,2026-05-22
2022-04-06,Buy,594119.8125,,2026-05-22
2022-04-11,Sell,538361.0,-55758.8125,2026-05-22
2022-05-25,Buy,541245.125,,2026-05-22
2022-06-16,Sell,457781.65625,-83463.46875,2026-05-22
2022-08-08,Buy,434305.65625,,2026-05-22
2022-08-25,Sell,418000.0,-16305.65625,2026-05-22
2022-11-17,Buy,240000.0,,2026-05-22
2022-12-02,Sell,215000.0,-25000.0,2026-05-22
2022-02-24,Buy,423132.3125,,2026-05-22
2022-03-24,Sell,679712.5,256580.1875,2026-05-22
2022-04-06,Buy,594119.8125,,2026-05-22
2022-04-11,Sell,538361.0,-55758.8125,2026-05-22
2022-05-25,Buy,541245.125,,2026-05-22
2022-06-16,Sell,457781.65625,-83463.46875,2026-05-22
2022-08-08,Buy,434305.65625,,2026-05-22
2022-08-25,Sell,418000.0,-16305.65625,2026-05-22
2022-11-17,Buy,240000.0,,2026-05-22
2022-12-02,Sell,215000.0,-25000.0,2026-05-22
2022-02-24,Buy,423132.3125,,2026-05-22
2022-03-24,Sell,679712.5,256580.1875,2026-05-22
2022-04-06,Buy,594119.8125,,2026-05-22
2022-04-11,Sell,538361.0,-55758.8125,2026-05-22
2022-05-25,Buy,541245.125,,2026-05-22
2022-06-16,Sell,457781.65625,-83463.46875,2026-05-22
2022-08-08,Buy,434305.65625,,2026-05-22
2022-08-25,Sell,418000.0,-16305.65625,2026-05-22
2022-11-17,Buy,240000.0,,2026-05-22
2022-12-02,Sell,215000.0,-25000.0,2026-05-22
2022-02-24,Buy,423132.3125,,2026-05-22
2022-03-24,Sell,679712.5,256580.1875,2026-05-22
2022-04-06,Buy,594119.8125,,2026-05-22
2022-04-11,Sell,538361.0,-55758.8125,2026-05-22
2022-05-25,Buy,541245.125,,2026-05-22
2022-06-16,Sell,457781.65625,-83463.46875,2026-05-22
2022-08-08,Buy,434305.65625,,2026-05-22
2022-08-25,Sell,418000.0,-16305.65625,2026-05-22
2022-11-17,Buy,240000.0,,2026-05-22
2022-12-02,Sell,215000.0,-25000.0,2026-05-22
2022-02-24,Buy,423132.3125,,2026-05-22
2022-03-24,Sell,679712.5,256580.1875,2026-05-22
2022-04-06,Buy,594119.8125,,2026-05-22
2022-04-11,Sell,538361.0,-55758.8125,2026-05-22
2022-05-25,Buy,541245.125,,2026-05-22
2022-06-16,Sell,457781.65625,-83463.46875,2026-05-22
2022-08-08,Buy,434305.65625,,2026-05-22
2022-08-25,Sell,418000.0,-16305.65625,2026-05-22
2022-11-17,Buy,240000.0,,2026-05-22
2022-12-02,Sell,215000.0,-25000.0,2026-05-22
2022-02-24,Buy,423132.3125,,2026-05-22
2022-03-24,Sell,679712.5,256580.1875,2026-05-22
2022-04-06,Buy,594119.8125,,2026-05-22
2022-04-11,Sell,538361.0,-55758.8125,2026-05-22
2022-05-25,Buy,541245.125,,2026-05-22
2022-06-16,Sell,457781.65625,-83463.46875,2026-05-22
2022-08-08,Buy,434305.65625,,2026-05-22
2022-08-25,Sell,418000.0,-16305.65625,2026-05-22
2022-11-17,Buy,240000.0,,2026-05-22
2022-12-02,Sell,215000.0,-25000.0,2026-05-22
2022-02-24,Buy,423132.3125,,2026-05-22
2022-03-24,Sell,679712.5,256580.1875,2026-05-22
2022-04-06,Buy,594119.8125,,2026-05-22
2022-04-11,Sell,538361.0,-55758.8125,2026-05-22
2022-05-25,Buy,541245.125,,2026-05-22
2022-06-16,Sell,457781.65625,-83463.46875,2026-05-22
2022-08-08,Buy,434305.65625,,2026-05-22
2022-08-25,Sell,418000.0,-16305.65625,2026-05-22
2022-11-17,Buy,240000.0,,2026-05-22
2022-12-02,Sell,215000.0,-25000.0,2026-05-22
