Date,Type,Price,Profit,run_date
2020-01-31,Buy,1440.0,,2026-05-22
2020-02-18,Sell,1576.0,136.0,2026-05-22
2020-03-09,Buy,1356.0,,2026-05-22
2020-04-23,Sell,1280.0,-76.0,2026-05-22
2020-07-22,Buy,1624.0,,2026-05-22
2020-12-03,Sell,1488.0,-136.0,2026-05-22
2021-04-12,Buy,1816.0,,2026-05-22
2022-08-02,Sell,1040.0,-776.0,2026-05-22
2022-08-24,Buy,912.0,,2026-05-22
2022-11-11,Sell,432.0,-480.0,2026-05-22
2022-12-16,Buy,359.20001220703125,,2026-05-22
2020-01-31,Buy,1440.0,,2026-05-22
2020-02-18,Sell,1576.0,136.0,2026-05-22
2020-03-09,Buy,1356.0,,2026-05-22
2020-04-23,Sell,1280.0,-76.0,2026-05-22
2020-07-22,Buy,1624.0,,2026-05-22
2020-12-03,Sell,1488.0,-136.0,2026-05-22
2021-04-12,Buy,1816.0,,2026-05-22
2022-08-02,Sell,1040.0,-776.0,2026-05-22
2022-08-24,Buy,912.0,,2026-05-22
2022-11-11,Sell,432.0,-480.0,2026-05-22
2022-12-16,Buy,359.20001220703125,,2026-05-22
2020-01-31,Buy,1440.0,,2026-05-22
2020-02-18,Sell,1576.0,136.0,2026-05-22
2020-03-09,Buy,1356.0,,2026-05-22
2020-04-23,Sell,1280.0,-76.0,2026-05-22
2020-07-22,Buy,1624.0,,2026-05-22
2020-12-03,Sell,1488.0,-136.0,2026-05-22
2021-04-12,Buy,1816.0,,2026-05-22
2022-08-02,Sell,1040.0,-776.0,2026-05-22
2022-08-24,Buy,912.0,,2026-05-22
2022-11-11,Sell,432.0,-480.0,2026-05-22
2022-12-16,Buy,359.20001220703125,,2026-05-22
2020-01-31,Buy,1440.0,,2026-05-22
2020-02-18,Sell,1576.0,136.0,2026-05-22
2020-03-09,Buy,1356.0,,2026-05-22
2020-04-23,Sell,1280.0,-76.0,2026-05-22
2020-07-22,Buy,1624.0,,2026-05-22
2020-12-03,Sell,1488.0,-136.0,2026-05-22
2021-04-12,Buy,1816.0,,2026-05-22
2022-08-02,Sell,1040.0,-776.0,2026-05-22
2022-08-24,Buy,912.0,,2026-05-22
2022-11-11,Sell,432.0,-480.0,2026-05-22
2022-12-16,Buy,359.20001220703125,,2026-05-22
2020-01-31,Buy,1440.0,,2026-05-22
2020-02-18,Sell,1576.0,136.0,2026-05-22
2020-03-09,Buy,1356.0,,2026-05-22
2020-04-23,Sell,1280.0,-76.0,2026-05-22
2020-07-22,Buy,1624.0,,2026-05-22
2020-12-03,Sell,1488.0,-136.0,2026-05-22
2021-04-12,Buy,1816.0,,2026-05-22
2022-08-02,Sell,1040.0,-776.0,2026-05-22
2022-08-24,Buy,912.0,,2026-05-22
2022-11-11,Sell,432.0,-480.0,2026-05-22
2022-12-16,Buy,359.20001220703125,,2026-05-22
2020-01-31,Buy,1440.0,,2026-05-22
2020-02-18,Sell,1576.0,136.0,2026-05-22
2020-03-09,Buy,1356.0,,2026-05-22
2020-04-23,Sell,1280.0,-76.0,2026-05-22
2020-07-22,Buy,1624.0,,2026-05-22
2020-12-03,Sell,1488.0,-136.0,2026-05-22
2021-04-12,Buy,1816.0,,2026-05-22
2022-08-02,Sell,1040.0,-776.0,2026-05-22
2022-08-24,Buy,912.0,,2026-05-22
2022-11-11,Sell,432.0,-480.0,2026-05-22
2022-12-16,Buy,359.20001220703125,,2026-05-22
2020-01-31,Buy,1440.0,,2026-05-22
2020-02-18,Sell,1576.0,136.0,2026-05-22
2020-03-09,Buy,1356.0,,2026-05-22
2020-04-23,Sell,1280.0,-76.0,2026-05-22
2020-07-22,Buy,1624.0,,2026-05-22
2020-12-03,Sell,1488.0,-136.0,2026-05-22
2021-04-12,Buy,1816.0,,2026-05-22
2022-08-02,Sell,1040.0,-776.0,2026-05-22
2022-08-24,Buy,912.0,,2026-05-22
2022-11-11,Sell,432.0,-480.0,2026-05-22
2022-12-16,Buy,359.20001220703125,,2026-05-22
2020-01-31,Buy,1440.0,,2026-05-22
