Date,Type,Price,Profit,run_date
2021-12-17,Buy,1890591.125,,2026-05-22
2022-03-02,Sell,468146.375,-1422444.75,2026-05-22
2022-03-25,Buy,656305.25,,2026-05-22
2021-12-17,Buy,1890591.125,,2026-05-22
2022-03-02,Sell,468146.375,-1422444.75,2026-05-22
2022-03-25,Buy,656305.25,,2026-05-22
2021-12-17,Buy,1890591.125,,2026-05-22
2022-03-02,Sell,468146.375,-1422444.75,2026-05-22
2022-03-25,Buy,656305.25,,2026-05-22
2021-12-17,Buy,1890591.125,,2026-05-22
2022-03-02,Sell,468146.375,-1422444.75,2026-05-22
2022-03-25,Buy,656305.25,,2026-05-22
2021-12-17,Buy,1890591.125,,2026-05-22
2022-03-02,Sell,468146.375,-1422444.75,2026-05-22
2022-03-25,Buy,656305.25,,2026-05-22
2021-12-17,Buy,1890591.125,,2026-05-22
2022-03-02,Sell,468146.375,-1422444.75,2026-05-22
2022-03-25,Buy,656305.25,,2026-05-22
2021-12-17,Buy,1890591.125,,2026-05-22
2022-03-02,Sell,468146.375,-1422444.75,2026-05-22
2022-03-25,Buy,656305.25,,2026-05-22
2021-12-17,Buy,1890591.125,,2026-05-22
2022-03-02,Sell,468146.375,-1422444.75,2026-05-22
2022-03-25,Buy,656305.25,,2026-05-22
2021-12-17,Buy,1890591.125,,2026-05-22
2022-03-02,Sell,468146.375,-1422444.75,2026-05-22
2022-03-25,Buy,656305.25,,2026-05-22
